,Unnamed: 0,image_path,description,occasion
51,51,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/401.jpg,a suit with a blue pinstripe stripe pattern,General
52,52,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/189.jpg,a grey suit hanging on a wooden hanger,General
53,53,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/416.jpg,a black jacket hanging on a blue blanket,General
54,54,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/38.jpg,a white jacket hanging on a wooden wall,General
55,55,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/220.jpg,a grey suit hanging on a wall,General
56,56,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/115.jpg,a blue jacket with a button on the front,General
57,57,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/476.jpg,a black blazer jacket hanging on a hanger,General
58,58,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/215.jpg,a white blazer jacket with a gold button,General
59,59,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/66.jpg,a black jacket hanging on a yellow wall,General
60,60,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/248.jpg,a black blazer jacket hanging on a wall,General
61,61,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/308.jpg,a suit hanging on a hanger,General
62,62,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/102.jpg,a suit with a striped pattern on it,General
63,63,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/286.jpg,a grey and white plaid suit with a red tag,General
64,64,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/339.jpg,a blue jacket hanging on a wooden stand,General
65,65,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/422.jpg,a suit with a black pinstripe pattern,General
66,66,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/309.jpg,a suit on a bed,General
67,67,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/434.jpg,a black blazer jacket hanging on a door,General
68,68,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/93.jpg,a suit with a tie on the lapel,General
69,69,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/43.jpg,a red blazer jacket hanging on a wall,General
70,70,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/373.jpg,a suit hanging on a wooden door,General
71,71,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/137.jpg,a blue blazer jacket hanging on a wall,General
72,72,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/262.jpg,a white jacket with a black button on the front,General
73,73,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/160.jpg,a brown blazer jacket with a white shirt,General
74,74,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/48.jpg,a suit hanging on a wall next to a painting,General
75,75,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/378.jpg,a black suit hanging on a white wall,General
76,76,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/188.jpg,a suit on a mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann,General
77,77,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/199.jpg,a suit on a white surface,General
78,78,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/210.jpg,a black blazer jacket hanging on a wall,General
79,79,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/413.jpg,a black suit hanging on a wall,General
80,80,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/314.jpg,a black suit hanging on a wall,General
81,81,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/244.jpg,a man in a suit and tie,General
82,82,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/57.jpg,a black blazer jacket hanging on a wall,General
83,83,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/21.jpg,a black and white striped suit with a black shirt,General
84,84,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/114.jpg,a tan colored jacket with buttons on the front,General
85,85,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/105.jpg,a white blazer jacket hanging on a wall,General
86,86,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/67.jpg,a black jacket hanging on a white refrigerator,General
87,87,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/109.jpg,a suit hanging on a hanger,General
88,88,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/441.jpg,a suit hanging on a wall,General
89,89,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/349.jpg,a grey jacket hanging on a wooden wall,General
90,90,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/489.jpg,a suit hanging on a wall,General
91,91,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/29.jpg,a red jacket hanging on a white wall,General
92,92,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/491.jpg,a black suit hanging on a hanger,General
93,93,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/482.jpg,a black blazer jacket hanging on a wooden hanger,General
94,94,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/285.jpg,a grey suit hanging on a wall,General
95,95,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/191.jpg,a black suit hanging on a hanger,General
96,96,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/236.jpg,a suit on a mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann,General
97,97,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/247.jpg,a tan colored jacket hanging on a wooden hanger,General
98,98,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/218.jpg,a black jacket hanging on a wall,General
99,99,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/111.jpg,a grey blazer jacket hanging on a hanger,General
100,100,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/333.jpg,a suit hanging on a wooden door,General
101,101,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/425.jpg,a suit hanging on a hanger,General
102,102,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/52.jpg,a white jacket hanging on a wall,General
103,103,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/414.jpg,a suit hanging on a hanger,General
104,104,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/124.jpg,a black jacket hanging on a wall,General
105,105,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/478.jpg,a black suit hanging on a white wall,General
106,106,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/256.jpg,a suit hanging on a hanger in a closet,General
107,107,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/228.jpg,a black suit hanging on a wall,General
108,108,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/426.jpg,a navy blazer jacket hanging on a door,General
109,109,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/345.jpg,a white and black striped blazer jacket,General
110,110,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/70.jpg,a black blazer jacket hanging on a wall,General
111,111,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/1.jpg,a green jacket hanging on a wall,General
112,112,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/234.jpg,a black blazer jacket with a badge on the back,General
113,113,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/411.jpg,a brown suit with a green tie and a white shirt,General
114,114,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/284.jpg,a suit on a hanger,General
115,115,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/9.jpg,a white jacket hanging on a wall,General
116,116,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/178.jpg,a suit hanging on a wooden door,General
117,117,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/229.jpg,a grey jacket hanging on a wooden wall,General
118,118,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/364.jpg,a suit on a wooden floor,General
119,119,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/152.jpg,a green jacket hanging on a wall,General
120,120,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/217.jpg,a suit hanging on a hanger,General
121,121,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/392.jpg,a black jacket hanging on a wall,General
122,122,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/442.jpg,a suit hanging on a wall,General
123,123,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/214.jpg,a suit hanging on a wall,General
124,124,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/444.jpg,a black suit with a button on the front,General
125,125,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/375.jpg,a suit on a mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann,General
126,126,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/276.jpg,a black suit hanging on a hanger,General
127,127,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/395.jpg,a suit hanging on a clothes rack,General
128,128,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/138.jpg,a navy and white pinstriped blazer jacket,General
129,129,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/468.jpg,a grey suit hanging on a wall,General
130,130,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/59.jpg,a suit hanging on a wall,General
131,131,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/261.jpg,a black suit hanging on a hanger,General
132,132,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/168.jpg,a pink jacket hanging on a hanger,General
133,133,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/330.jpg,a silver suit with black lapel,General
134,134,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/300.jpg,a suit hanging on a hanger,General
135,135,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/343.jpg,a blue suit hanging on a wall,General
136,136,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/241.jpg,a black suit with gold buttons,General
137,137,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/243.jpg,a suit hanging on a hanger,General
138,138,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/302.jpg,a suit hanging on a hanger,General
139,139,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/82.jpg,a suit hanging on a wall next to a flower,General
140,140,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/128.jpg,a black jacket hanging on a wall,General
141,141,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/393.jpg,a suit hanging on a hanger,General
142,142,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/432.jpg,a black jacket hanging on a hanger,General
143,143,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/363.jpg,a navy blazer jacket with white collar,Formal
144,144,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/173.jpg,a light blue blazer jacket hanging on a wooden wall,General
145,145,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/498.jpg,a black pinstriped suit hanging on a white brick wall,General
146,146,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/341.jpg,a suit hanging on a hanger,General
147,147,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/446.jpg,a grey suit hanging on a hanger,General
148,148,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/41.jpg,a black jacket hanging on a wall,General
149,149,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/91.jpg,a white jacket hanging on a white wall,General
150,150,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/103.jpg,a green blazer jacket hanging on a wall,General
151,151,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/287.jpg,a black suit hanging on a wall,General
152,152,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/459.jpg,a suit hanging on a wall,General
153,153,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/46.jpg,a blue blazer jacket on a wooden floor,General
154,154,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/334.jpg,a navy blue blazer jacket with a white shirt,General
155,155,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/398.jpg,a beige cord jacket hanging on a wooden hanger,General
156,156,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/475.jpg,a black suit hanging on a wall,General
157,157,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/467.jpg,a grey suit hanging on a wall,General
158,158,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/5.jpg,a grey suit hanging on a wall,General
159,159,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/293.jpg,a beige suit on a hanger,General
160,160,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/347.jpg,a blue suit on a wooden stand,General
161,161,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/31.jpg,a black suit hanging on a wall,General
162,162,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/365.jpg,a black suit hanging on a wall,General
163,163,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/268.jpg,a blue jacket with a black tie and a black shirt,General
164,164,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/12.jpg,a suit on a hanger,General
165,165,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/356.jpg,a suit hanging on a hanger,General
166,166,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/400.jpg,a suit on a mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann,General
167,167,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/477.jpg,a suit and tie on a bed,General
168,168,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/391.jpg,a grey suit hanging on a wall,General
169,169,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/315.jpg,a suit hanging on a hanger,General
170,170,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/348.jpg,a suit on a mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann mann,General
171,171,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/8.jpg,a gray jacket hanging on a wall,General
172,172,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/455.jpg,a beige jacket hanging on a white door,General
173,173,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/410.jpg,a suit hanging on a hanger,General
174,174,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/451.jpg,a black suit on a chair,General
175,175,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/153.jpg,a maroon and black striped blazer jacket,General
176,176,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/13.jpg,a black suit hanging on a wall,General
177,177,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/472.jpg,a blue suit on a bed,General
178,178,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/209.jpg,a brown suit hanging on a wall,General
179,179,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/332.jpg,a black blazer jacket hanging on a wall,General
180,180,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/33.jpg,a black suit,General
181,181,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/49.jpg,a black jacket hanging on a wall,General
182,182,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/172.jpg,a black jacket hanging on a wall,General
183,183,/root/.cache/kagglehub/datasets/gabrielalbertin/clothing-dataset/versions/2/Dataset/Jacket/155.jpg,a black blazer jacket hanging on a wooden wall,General
